rank,smiles,tanimoto,logS
1,NS(=O)(=O)c1ccc(Nc2ccnc(NC(=O)c3cccnc3)n2)cc1,0.3214,-1.27
2,O=C(O)c1ccc(NC(=O)c2cccnc2)cc1,0.3151,-3.0832
3,O=C(Nc1ccccc1)c1cccnc1,0.2917,-3.093
4,COc1cc(NC(=O)c2cccnc2)c2ncccc2c1,0.2857,-4.4461
5,Cc1ccnc(NC(=O)c2cnccn2)n1,0.2857,-0.7308
6,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1ccc(CN2CCOCC2)cc1,0.266,-2.89
7,O=C(Nc1ccccn1)c1cccnc1,0.2632,-2.9771
8,NNC(=O)c1cccnc1,0.25,-0.1372
9,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])cc2)cc1N.[Na+],0.2439,-0.9492775868
10,O=C(NC(=O)c1cccnc1)Nc1ccccc1,0.2436,-3.3825
